Faculty name,faculty link,description
Architecture,https://www.mrt.ac.lk/web/foa,About the Faculty
Architecture,https://www.mrt.ac.lk/web/foa,The Faculty of Architecture is the only University Faculty in Sri Lanka that provides undergraduate and postgraduate studies in the disciplines of Architectural; Quantity Surveying & Planning education.
Architecture,https://www.mrt.ac.lk/web/foa,The Faculty also has the following divisions and units in addition to the above four departments which provide training and research for the academics and the professionals. 
Architecture,https://www.mrt.ac.lk/web/foa,The Faculty of Architecture at present offers the following Undergraduate Degree programmes. 
Architecture,https://www.mrt.ac.lk/web/foa,In addition; the Faculty of Architecture offers the following Postgraduate Degree programmes. 
Architecture,https://www.mrt.ac.lk/web/foa,The M.Sc (by research); M.Phils. & PhDs. are being conducted by the Postgraduate Studies Division of the Faculty.
Engineering,https://www.mrt.ac.lk/web/efac,The Faculty of Engineering is the largest faculty in the University of Moratuwa; comprising 12
Engineering,https://www.mrt.ac.lk/web/efac,Academic disciplines offered for the B.Sc. Engineering degree include Chemical & Process Engineering; Civil Engineering; Computer Science & Engineering; Earth Resource Engineering; Electrical Engineering; Electronic & Telecommunication Engineering; Materials Science & Engineering; Mechanical Engineering and Textile & Clothing Technology.
Engineering,https://www.mrt.ac.lk/web/efac,In addition; the Faculty offers many post-graduate courses and research degrees in various engineering and allied disciplines leading to Master of Science; Master of Engineering; Master of Philosophy; Master of Business Administration and Doctor of Philosophy.
Information Technology,https://www.mrt.ac.lk/web/itfac,The Faculty of Information Technology is one of the five faculties in the University of Moratuwa and is the first ever faculty of its kind in the national university system of Sri Lanka. The Faculty was established in June 2001 to cater to the growing need for Information Technology(IT) professionals in the country. Presently; the Faculty conducts two internal degree programmes; namely; Bachelor of  Science Honours (B.Sc. Hons.) in Information Technology and Bachelor of  Science Honours (B.Sc. Hons.) in Information Technology & Management; and the external degree programme; Bachelor of Information Technology.
Information Technology,https://www.mrt.ac.lk/web/itfac,In addition;the Faculty is conducting a Master of Science in IT; a Master of Science in Artificial Intelligence; a Master of Philosophy and Doctoral degrees as postgraduate programmes starting from early 2004. A few professional development programmes have been designed to address the immediate needs of the local IT industry.
Information Technology,https://www.mrt.ac.lk/web/itfac, 
Business,https://www.mrt.ac.lk/web/business,"Transforming business through innovations"
Business,https://www.mrt.ac.lk/web/business,Producing Sri Lanka’s next generation of knowledge precursors; Faculty of Business; University of Moratuwa reigns the tertiary education through its world class undergraduate degree programs in Business Science. The main goal of the Faculty of Business is to produce graduates who will be ready to take the businesses to a higher level in the next decade.
Business,https://www.mrt.ac.lk/web/business,With the increasing use of data analytics for improving business efficiency; the world is looking for a new breed of business graduates who can bring fresh insights to an organization.  To bridge the market needs with sufficient breeding of industry required skills; Faculty of business; University of Moratuwa offers three Bachelor of Business Science degree programmes in Business Analytics; Financial Analytics and Business Process Management. 
Business,https://www.mrt.ac.lk/web/business,With solid conceptual underpinning and vocationally relevant knowledge and proficiencies; students are empowered to steer contemporary organizations while reaping the best. The modules and course works are carefully designed with paramount coherence to impending needs of industry and global economy. With more emphasis on teaching; research and consultancy programmes; Faculty of Business is anticipating to utilize University’s technology based core competencies to share synergistic benefits with all its beneficiaries.
Business,https://www.mrt.ac.lk/web/business,Business Analytics
Business,https://www.mrt.ac.lk/web/business,Financial Analytics
Business,https://www.mrt.ac.lk/web/business,Business Process Management
Graduate Studies,https://www.mrt.ac.lk/web/fgs
