Course Name,Course url
Degree of Master of Business Administration in Supply Chain Management,https://www.mrt.ac.lk/web/courses/degree-master-business-administration-supply-chain-management
Msc /PG Diploma in Business Statistics 2018/2019,https://www.mrt.ac.lk/web/courses/msc-pg-diploma-business-statistics-20182019
MBA in Management of Technology 2019,https://www.mrt.ac.lk/web/courses/mba-management-technology-2019
MBA in Entrepreneurship 2019,https://www.mrt.ac.lk/web/courses/mba-entrepreneurship-2019
Master of Science / Post Graduate Diploma  in  Information Technology,https://www.mrt.ac.lk/web/courses/master-science-post-graduate-diploma-information-technology-2018
MSc. in Artificial Intelligence Advertisement,https://www.mrt.ac.lk/web/courses/msc-artificial-intelligence-advertisement
Msc/PG Diploma in Master of Spatial Planing  Management and Design,https://www.mrt.ac.lk/web/courses/mscpg-diploma-master-spatial-planing-management-and-design
PG Dip/M.Sc. in Telecommunications,https://www.mrt.ac.lk/web/courses/pg-dipmsc-telecommunications
Training Programme on Photovoltaic Power Conversion  Systems 2017  3 rd Intake,https://www.mrt.ac.lk/web/courses/training-programme-photovoltaic-power-conversion-systems-2017-3-rd-intake
MSc / PG Diploma in Occupational Safety and Health Management,https://www.mrt.ac.lk/web/courses/msc-pg-diploma-occupational-safety-and-health-management
MSc / PG Diploma in Business Statistics (MBS) - 2017/2018,https://www.mrt.ac.lk/web/courses/msc-pg-diploma-business-statistics-mbs-20172018
Applications are invited for the Master of Science/ Postgraduate Diploma in Material Science,https://www.mrt.ac.lk/web/courses/applications-are-invited-master-science-postgraduate-diploma-material-science
M.Sc/ Post Graduate Diploma in Construction Law and Dispute Resolution,https://www.mrt.ac.lk/web/courses/msc-post-graduate-diploma-construction-law-and-dispute-resolution
Extension Courses to The Garment Industry.,https://www.mrt.ac.lk/web/courses/extension-courses-garment-industry
Postgraduate Diploma/M.Sc. in Sustainable Process Engineering,https://www.mrt.ac.lk/web/courses/postgraduate-diplomamsc-sustainable-process-engineering
Training Programme on Total Station and AutoCAD for Engineering Surveys,https://www.mrt.ac.lk/web/courses/training-programme-total-station-and-autocad-engineering-surveys
MBA in Supply Chain Management,https://www.mrt.ac.lk/web/courses/mba-supply-chain-management
Master of Urban Design Post Graduate Diploma in Urban Design,https://www.mrt.ac.lk/web/courses/master-urban-design-post-graduate-diploma-urban-design
Master of Science/Postgraduate Diploma in Information Technology,https://www.mrt.ac.lk/web/courses/master-sciencepostgraduate-diploma-information-technology
Master of Science in Interior Design Post Graduate Diploma in Interior Design,https://www.mrt.ac.lk/web/courses/master-science-interior-design-post-graduate-diploma-interior-design
Master of Science/Postgraduate Diploma in Artificial Intelligence,https://www.mrt.ac.lk/web/courses/master-sciencepostgraduate-diploma-artificial-intelligence
Master of Science / Postgraduate Diploma in Materials Science 2015/2016,https://www.mrt.ac.lk/web/courses/master-science-postgraduate-diploma-materials-science-20152016
English Language Skills for Employment,https://www.mrt.ac.lk/web/courses/english-language-skills-employment
Certificate Courses in Gemmology / Geology,https://www.mrt.ac.lk/web/courses/certificate-courses-gemmology-geology
Postgraduate Diploma / M.Sc. in Telecommunications,https://www.mrt.ac.lk/web/courses/postgraduate-diploma-msc-telecommunications
Master of Spatial Planning  Management and Design,https://www.mrt.ac.lk/web/courses/master-spatial-planning-management-and-design
Training Course on CNC Part Programming Using Pro/Engineer & SolidCAM,https://www.mrt.ac.lk/web/courses/training-course-cnc-part-programming-using-proengineer-solidcam
Training Course on Parametric 3D Modelling Using Pro/Engineer & SolidWorks,https://www.mrt.ac.lk/web/courses/training-course-parametric-3d-modelling-using-proengineer-solidworks
